Time	Energy
0.0000	-98.3047
0.0048	-97.5549
0.0095	-97.4562
0.0143	-97.3184
0.0190	-97.7299
0.0238	-97.4263
0.0285	-97.1736
0.0333	-97.6358
0.0380	-97.6039
0.0428	-97.6818
0.0475	-98.1194
0.0523	-97.7355
0.0570	-98.1246
0.0618	-97.9398
0.0665	-98.5206
0.0713	-97.0567
0.0760	-96.9184
0.0808	-97.2168
0.0855	-97.5493
0.0903	-98.5937
0.0950	-97.7710
0.0998	-97.6504
0.1046	-97.9404
0.1093	-96.6848
0.1141	-97.5043
0.1188	-97.1583
0.1236	-97.6716
0.1283	-97.1227
0.1331	-97.3529
0.1378	-96.2953
0.1426	-96.2549
0.1473	-97.4776
0.1521	-96.4257
0.1568	-97.2614
0.1616	-96.7490
0.1663	-96.8351
0.1711	-96.5811
0.1758	-97.8812
0.1806	-96.7279
0.1853	-97.7230
0.1901	-95.9201
0.1948	-97.4702
0.1996	-96.8705
0.2044	-96.8194
0.2091	-96.9563
0.2139	-97.2404
0.2186	-96.9698
0.2234	-97.8489
0.2281	-97.1462
0.2329	-97.2202
0.2376	-97.0000
0.2424	-97.3003
0.2471	-96.6270
0.2519	-97.2621
0.2566	-95.7321
0.2614	-98.2774
0.2661	-96.3688
0.2709	-96.6132
0.2756	-97.3135
0.2804	-96.4170
0.2851	-97.2418
0.2899	-96.6848
0.2946	-96.2290
0.2994	-95.7843
0.3042	-96.9902
0.3089	-96.7166
0.3137	-96.7773
0.3184	-97.5142
0.3232	-96.6353
0.3279	-96.7442
0.3327	-97.0470
0.3374	-97.0633
0.3422	-96.3827
0.3469	-96.2887
0.3517	-97.2470
0.3564	-97.1619
0.3612	-96.8253
0.3659	-96.8359
0.3707	-96.3902
0.3754	-97.1667
0.3802	-97.1021
0.3849	-97.4242
0.3897	-97.4033
0.3944	-96.5304
0.3992	-97.2630
0.4040	-97.1801
0.4087	-97.6657
0.4135	-97.0338
0.4182	-96.3328
0.4230	-96.8234
0.4277	-96.0572
0.4325	-96.1055
0.4372	-96.8044
0.4420	-97.0097
0.4467	-96.5436
0.4515	-96.5290
0.4562	-97.8453
0.4610	-97.6030
0.4657	-97.4688
0.4705	-96.5517
0.4752	-97.0144
0.4800	-96.9005
0.4847	-97.9649
0.4895	-96.4307
0.4942	-97.2557
0.4990	-96.2242
0.5038	-97.1115
0.5085	-97.2202
0.5133	-97.0567
0.5180	-97.3854
0.5228	-97.8332
0.5275	-96.4671
0.5323	-96.8439
0.5370	-97.2072
0.5418	-97.6077
0.5465	-96.0849
0.5513	-97.5192
0.5560	-97.6836
0.5608	-96.8730
0.5655	-97.8008
0.5703	-97.9776
0.5750	-97.4704
0.5798	-96.8426
0.5845	-98.2399
0.5893	-98.0933
0.5940	-96.0378
0.5988	-96.5919
0.6036	-97.4404
0.6083	-96.9208
0.6131	-97.6237
0.6178	-97.8613
0.6226	-98.0925
0.6273	-97.3603
0.6321	-97.1270
0.6368	-98.4827
0.6416	-99.2500
0.6463	-97.9915
0.6511	-96.6726
0.6558	-97.4050
0.6606	-97.3504
0.6653	-97.8509
0.6701	-96.8730
0.6748	-98.0558
0.6796	-99.0939
0.6843	-97.3409
0.6891	-98.0140
0.6938	-98.2507
0.6986	-97.7588
0.7034	-98.2370
0.7081	-98.8572
0.7129	-97.6039
0.7176	-98.2017
0.7224	-97.9426
0.7271	-98.6873
0.7319	-98.0698
0.7366	-97.9076
0.7414	-97.3655
0.7461	-97.7437
0.7509	-98.1859
0.7556	-98.0160
0.7604	-97.7760
0.7651	-97.7589
0.7699	-98.2402
0.7746	-98.1814
0.7794	-97.9458
0.7841	-99.1306
0.7889	-98.1597
0.7936	-98.3028
0.7984	-98.4299
0.8032	-98.4689
0.8079	-98.7668
0.8127	-98.4287
0.8174	-99.1786
0.8222	-97.3216
0.8269	-97.8665
0.8317	-98.7516
0.8364	-98.0435
0.8412	-97.7161
0.8459	-98.4657
0.8507	-99.2671
0.8554	-98.8541
0.8602	-98.3494
0.8649	-98.4678
0.8697	-98.7427
0.8744	-98.0495
0.8792	-98.5891
0.8839	-98.1270
0.8887	-97.6523
0.8934	-98.1503
0.8982	-99.0019
0.9030	-98.3037
0.9077	-98.4437
0.9125	-97.8267
0.9172	-98.0686
0.9220	-98.9608
0.9267	-98.2320
0.9315	-98.7149
0.9362	-97.8602
0.9410	-99.1130
0.9457	-97.9211
0.9505	-98.0035
0.9552	-97.6562
0.9600	-98.0445
0.9647	-98.5709
0.9695	-98.4353
0.9742	-97.9604
0.9790	-98.5202
0.9837	-97.9840
0.9885	-98.6037
0.9932	-98.2150
0.9980	-97.9081
1.0028	-98.2727
1.0075	-97.8203
1.0123	-98.0652
1.0170	-97.9454
1.0218	-96.5649
1.0265	-98.5566
1.0313	-99.2821
1.0360	-97.1392
1.0408	-97.4602
1.0455	-98.2566
1.0503	-97.7591
1.0550	-98.3862
1.0598	-97.6884
1.0645	-98.0884
1.0693	-98.3233
1.0740	-98.5086
1.0788	-98.2554
